COD_IBGE;POP;IDH municipal;IDH renda;IDH longevidade;IDH educacao
4111704;5425;0,718;0,699;0,827;0,64
4113007;7477;0,718;0,716;0,835;0,619
4114104;31544;0,718;0,717;0,825;0,625
4117701;36384;0,718;0,725;0,826;0,618
4123006;14006;0,718;0,707;0,839;0,625
4124103;45261;0,718;0,733;0,817;0,617
4103305;7706;0,717;0,695;0,838;0,633
4106605;23852;0,717;0,698;0,825;0,64
4109609;42801;0,717;0,737;0,828;0,604
4116505;1315;0,717;0,673;0,794;0,691
4118105;9561;0,717;0,689;0,839;0,638
4118600;5616;0,717;0,699;0,847;0,622
4123600;1744;0,717;0,675;0,827;0,659
4125803;8691;0,717;0,702;0,836;0,627
4102802;14789;0,716;0,721;0,844;0,604
4104600;14644;0,716;0,712;0,829;0,623
4107702;4492;0,716;0,669;0,825;0,665
4114500;13702;0,716;0,725;0,806;0,628
4117255;10780;0,716;0,711;0,798;0,646
4117503;49999;0,716;0,697;0,833;0,632
4121802;12357;0,716;0,704;0,832;0,627
4124301;2122;0,716;0,683;0,813;0,662
4107553;3052;0,715;0,671;0,818;0,665
4111902;15193;0,715;0,714;0,834;0,615
4121109;5009;0,715;0,689;0,842;0,631
4126009;8070;0,715;0,689;0,814;0,651
4116950;5592;0,714;0,714;0,805;0,633
4120705;8092;0,714;0,691;0,803;0,655
4127403;18448;0,714;0,697;0,818;0,639
4104709;16908;0,713;0,696;0,832;0,625
4106704;4495;0,713;0,682;0,828;0,641
4118857;7132;0,713;0,684;0,83;0,638
4120408;4334;0,713;0,695;0,857;0,608
4122602;9093;0,713;0,724;0,82;0,61
4125456;4063;0,713;0,686;0,844;0,627
4112405;9127;0,712;0,698;0,829;0,623
4116059;12951;0,711;0,714;0,828;0,608
4109708;30943;0,71;0,738;0,813;0,596
4113809;4812;0,71;0,703;0,856;0,595
4117206;5834;0,71;0,699;0,813;0,631
4117297;4061;0,71;0,681;0,831;0,633
4119657;3016;0,71;0,67;0,842;0,634
